1767435713.043136,PixHawk,"Heartbeat from system 1, component 0"
1767435718.0440757,PixHawk,Sent Mode Set to GUIDED
1767435718.045178,PixHawk,Fetched heartbeat for armable check
1767435721.0541663,PixHawk,"No Ack for Arm Command
"
1767435725.0567026,PixHawk,"Takeoff Failed or Rejected. Error Code: TIMEOUT
"
1767435763.0607038,PixHawk,Sent Mode Set to LAND
1767435765.0610209,PixHawk,Sent Mode Set to LAND
1767435767.0613334,PixHawk,Sent Mode Set to LAND
1767435768.061479,PixHawk,LAND mode confirmed
1767435925.0668402,PixHawk,"Heartbeat from system 1, component 0"
1767435930.0682561,PixHawk,Sent Mode Set to GUIDED
1767435930.0708964,PixHawk,Fetched heartbeat for armable check
1767435930.0817227,PixHawk,"Drone Armed
"
1767435934.0855608,PixHawk,"Takeoff Failed or Rejected. Error Code: TIMEOUT
"
1767435976.0898576,PixHawk,Sent Mode Set to LAND
1767435978.090176,PixHawk,Sent Mode Set to LAND
1767435979.090371,PixHawk,LAND mode confirmed
1767435986.0613565,PixHawk,"Heartbeat from system 1, component 0"
1767435991.0626657,PixHawk,Sent Mode Set to GUIDED
1767435992.0606136,PixHawk,Fetched heartbeat for armable check
1767435995.0621934,PixHawk,"No Ack for Arm Command
"
1767435999.0720258,PixHawk,"Takeoff Failed or Rejected. Error Code: TIMEOUT
"
1767436037.075794,PixHawk,Sent Mode Set to LAND
1767436039.076085,PixHawk,Sent Mode Set to LAND
1767436040.0762908,PixHawk,LAND mode confirmed
1767436132.0656009,PixHawk,"Heartbeat from system 1, component 0"
1767436137.0665488,PixHawk,Sent Mode Set to GUIDED
1767436137.0677154,PixHawk,Fetched heartbeat for armable check
1767436137.069064,PixHawk,"Drone Armed
"
1767436137.0794525,PixHawk,"Takeoff Command Accepted. Climbing...
"
1767436145.619623,PixHawk,"Reached target altitude: 3.005m
"
1767436204.6260493,PixHawk,Sent Mode Set to LAND
1767436206.6263976,PixHawk,Sent Mode Set to LAND
1767436207.6265812,PixHawk,LAND mode confirmed
1767436577.1463594,PixHawk,"Heartbeat from system 1, component 0"
1767436582.1474285,PixHawk,Sent Mode Set to GUIDED
1767436582.1488674,PixHawk,Fetched heartbeat for armable check
1767436585.1527,PixHawk,"No Ack for Arm Command
"
1767436585.1633463,PixHawk,"Takeoff Command Accepted. Climbing...
"
1767436591.2054486,PixHawk,"Reached target altitude: 2.958m
"
1767436608.1227663,PixHawk,Sent Mode Set to LAND
1767436730.1436245,PixHawk,"Heartbeat from system 1, component 0"
1767436735.1451774,PixHawk,Sent Mode Set to GUIDED
1767436735.146758,PixHawk,Fetched heartbeat for armable check
1767436738.1503375,PixHawk,"No Ack for Arm Command
"
1767436742.1516008,PixHawk,"Takeoff Failed or Rejected. Error Code: TIMEOUT
"
1767436754.2511969,PixHawk,Sent Mode Set to LAND
1767436851.1490095,PixHawk,"Heartbeat from system 1, component 0"
1767436856.1508977,PixHawk,Sent Mode Set to GUIDED
1767436857.1490428,PixHawk,Fetched heartbeat for armable check
1767436860.1516738,PixHawk,"No Ack for Arm Command
"
1767436860.1625376,PixHawk,"Takeoff Command Accepted. Climbing...
"
1767436866.2080965,PixHawk,"Reached target altitude: 2.961m
"
1767436870.9400804,PixHawk,Sent Mode Set to LAND
1767436941.1575086,PixHawk,"Heartbeat from system 1, component 0"
1767436946.1588256,PixHawk,Sent Mode Set to GUIDED
1767436946.161454,PixHawk,Fetched heartbeat for armable check
1767436946.1663046,PixHawk,"Drone Armed
"
1767436970.23635,PixHawk,Sent Mode Set to LAND
1767436971.2366133,PixHawk,LAND mode confirmed
1767437035.160852,PixHawk,"Heartbeat from system 1, component 0"
1767437040.1622849,PixHawk,Sent Mode Set to GUIDED
1767437040.1646607,PixHawk,Fetched heartbeat for armable check
1767437040.1695876,PixHawk,"Drone Armed
"
1767437040.175171,PixHawk,"Takeoff Command Accepted. Climbing...
"
1767437048.2209888,PixHawk,"Reached target altitude: 2.95m
"
